ENSG00000233803	Y	9337463	9347463	+
ENSG00000169789	Y	22490396	22500396	+
ENSG00000129862	Y	14056226	14066226	+
ENSG00000114374	Y	12537649	12547649	+
ENSG00000169807	Y	22086006	22096006	-
ENSG00000198692	Y	20575775	20585775	+
ENSG00000183753	Y	22973818	22983818	+
ENSG00000092377	Y	6910685	6920685	+
ENSG00000242389	Y	21908066	21918066	-
ENSG00000238074	Y	9487312	9497312	+
ENSG00000205944	Y	23219433	23229433	+
ENSG00000236424	Y	9527879	9537879	+
ENSG00000169763	Y	23684578	23694578	-
ENSG00000234414	Y	21511371	21521371	+
ENSG00000258992	Y	9466954	9476954	+
ENSG00000099715	Y	5000225	5010225	+
ENSG00000226941	Y	22403460	22413460	+
ENSG00000280969	Y	20756107	20766107	+
ENSG00000242875	Y	21511337	21521337	+
ENSG00000172288	Y	25622161	25632161	+
ENSG00000244395	Y	21884525	21894525	-
ENSG00000165246	Y	14522572	14532572	+
ENSG00000183795	Y	24607559	24617559	+
ENSG00000168757	Y	6246222	6256222	+
ENSG00000169953	Y	18763734	18773734	-
ENSG00000012817	Y	19734938	19744938	-
ENSG00000172468	Y	18546690	18556690	+
ENSG00000176679	Y	3579066	3589066	+
ENSG00000228927	Y	9398420	9408420	+
ENSG00000169800	Y	22172981	22182981	-
ENSG00000182415	Y	18025786	18035786	+
ENSG00000229549	Y	9357796	9367796	+
ENSG00000172352	Y	24038018	24048018	-
ENSG00000099721	Y	6901751	6911751	-
ENSG00000185894	Y	25052547	25062547	-
ENSG00000205916	Y	24833842	24843842	+
ENSG00000129873	Y	17870219	17880219	-
ENSG00000188120	Y	23189009	23199009	-
ENSG00000187191	Y	24803491	24813491	-
ENSG00000184895	Y	2777681	2787681	-
ENSG00000129824	Y	2841601	2851601	+
ENSG00000067646	Y	2935280	2945280	+
ENSG00000067048	Y	12904107	12914107	+
ENSG00000183878	Y	13470672	13480672	-
ENSG00000154620	Y	13703898	13713898	+
ENSG00000129864	Y	13976472	13986472	-
ENSG00000240654	13	24307165	24317165	+
ENSG00000102699	13	24502777	24512777	-
ENSG00000027001	13	23879399	23889399	-
ENSG00000132972	13	24764168	24774168	+
ENSG00000150459	13	21140513	21150513	+
ENSG00000139517	13	27610528	27620528	-
ENSG00000165487	13	21594180	21604180	-
ENSG00000132963	13	28659103	28669103	+
ENSG00000277117	21	5022492	5032492	+
ENSG00000102781	13	30297550	30307550	-
ENSG00000196199	13	19633658	19643658	+
ENSG00000154646	21	18475878	18485878	-
ENSG00000165480	13	21166551	21176551	-
ENSG00000236444	13	30422487	30432487	+
ENSG00000133101	13	36431519	36441519	+
ENSG00000102678	13	21671072	21681072	+
ENSG00000132952	13	30617692	30627692	+
ENSG00000183463	13	27978692	27988692	-
ENSG00000189403	13	30607596	30617596	-
ENSG00000120669	13	36204587	36214587	-
ENSG00000139515	13	27919999	27929999	+
ENSG00000133114	13	44989528	44999528	+
ENSG00000278961	21	7783953	7793953	-
ENSG00000280071	21	5118412	5128412	-
ENSG00000120694	13	31152387	31162387	-
ENSG00000277277	21	7760590	7770590	-
ENSG00000083635	13	44979470	44989470	-
ENSG00000154639	21	17513042	17523042	+
ENSG00000102753	13	49782681	49792681	-
ENSG00000275993	21	6111130	6121130	+
ENSG00000165475	13	20515872	20525872	-
ENSG00000165556	13	27959314	27969314	-
ENSG00000156253	21	29009359	29019359	-
ENSG00000186925	21	30531863	30541863	-
ENSG00000152520	13	28138505	28148505	+
ENSG00000079101	18	596987	606987	+
ENSG00000158270	18	490721	500721	-
ENSG00000102547	13	49434063	49444063	-
ENSG00000168454	18	9885725	9895725	+
ENSG00000255112	18	11851412	11861412	+
ENSG00000102743	13	40789411	40799411	+
ENSG00000156265	21	29077470	29087470	+
ENSG00000120675	13	43023202	43033202	+
ENSG00000141401	18	11981024	11991024	+
ENSG00000184032	21	30635205	30645205	+
ENSG00000132975	13	26750785	26760785	-
ENSG00000186965	21	30477435	30487435	-
ENSG00000188342	13	45120509	45130509	+
ENSG00000183640	21	30803273	30813273	-
ENSG00000132970	13	26557682	26567682	+
ENSG00000142207	21	32383011	32393011	-
ENSG00000274559	21	5963382	5973382	-
ENSG00000232263	21	30279513	30289513	-
ENSG00000187026	21	30737258	30747258	-
ENSG00000154721	21	25639257	25649257	+
